,type,date(yyyyMMddHHmmss),author,message,latitude,longitude,location,spam,hashtags,sentiment_score,sentiment,datetime,tokens,keywords,labels,fire,crime,emergency
0,mbdata,2.01401E+13,POK,follow us @pok-kronos,,,,1,[],0,1,2014-01-23 17:00:00,"['follow', 'us', '@', 'pok-kronos']","['follow', 'us', 'pok-kronos']",[],[],[],[]
1,mbdata,2.01401E+13,maha_Homeland,don't miss a moment!  follow our live coverage of the pok rally in the park!,,,,1,[],0.170454545,1,2014-01-23 17:00:00,"['do', ""n't"", 'miss', 'a', 'moment', '!', 'follow', 'our', 'live', 'coverage', 'of', 'the', 'pok', 'rally', 'in', 'the', 'park', '!']","['miss', 'moment', 'follow', 'live', 'coverage', 'pok', 'rally', 'park']",[],[],[],[]
2,mbdata,2.01401E+13,Viktor-E,come join us in the park! music tonight at abila city park!,,,,1,[],0,1,2014-01-23 17:00:00,"['come', 'join', 'us', 'in', 'the', 'park', '!', 'music', 'tonight', 'at', 'abila', 'city', 'park', '!']","['come', 'join', 'us', 'park', 'music', 'tonight', 'abila', 'city', 'park']",[],[],[],[]
3,mbdata,2.01401E+13,KronosStar,pok rally to start in abila city park. pok leader sylvia marek to open with a speech.˜ #kronosstar,,,,1,['#KronosStar'],0,1,2014-01-23 17:00:00,"['pok', 'rally', 'to', 'start', 'in', 'abila', 'city', 'park', '.', 'pok', 'leader', 'sylvia', 'marek', 'to', 'open', 'with', 'a', 'speech.˜', '#', 'kronosstar']","['pok', 'rally', 'start', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'open', 'speech.˜', 'kronosstar']",[],[],[],[]
4,mbdata,2.01401E+13,AbilaPost,pok rally set to take place in abila city park - pok leader sylvia marek has begun with opening remarks #abilapost,,,,1,['#AbilaPost'],0,1,2014-01-23 17:00:00,"['pok', 'rally', 'set', 'to', 'take', 'place', 'in', 'abila', 'city', 'park', '-', 'pok', 'leader', 'sylvia', 'marek', 'has', 'begun', 'with', 'opening', 'remarks', '#', 'abilapost']","['pok', 'rally', 'set', 'take', 'place', 'abila', 'city', 'park', 'pok', 'leader', 'sylvia', 'marek', 'begun', 'opening', 'remarks', 'abilapost']",['crime'],[],"['begun', 'begun', 'begun']",[]
5,mbdata,2.01401E+13,ourcountryourrights,pok rally in the park tonight! #pokrally,,,,1,['#POKrally'],0,1,2014-01-23 17:00:00,"['pok', 'rally', 'in', 'the', 'park', 'tonight', '!', '#', 'pokrally']","['pok', 'rally', 'park', 'tonight', 'pokrally']",[],[],[],[]
6,mbdata,2.01401E+13,ReggieWassali,great day for a rally! #rememberjuliana #rememberelian #pok,,,,1,"['#RememberJuliana', '#RememberElian', '#POK']",1,1,2014-01-23 17:00:00,"['great', 'day', 'for', 'a', 'rally', '!', '#', 'rememberjuliana', '#', 'rememberelian', '#', 'pok']","['great', 'day', 'rally', 'rememberjuliana', 'rememberelian', 'pok']",[],[],[],[]
7,mbdata,2.01401E+13,MindOfKronos,"ugh, these pokers are anooying! #pok #gowaway",,,,1,"['#POK', '#gowaway']",0,1,2014-01-23 17:00:00,"['ugh', ',', 'these', 'pokers', 'are', 'anooying', '!', '#', 'pok', '#', 'gowaway']","['ugh', 'pokers', 'anooying', 'pok', 'gowaway']",[],[],[],[]
8,mbdata,2.01401E+13,FriendsOfKronos,massive rally of pok terrorists - cops are gathered waiting for arrests,,,,1,[],0,1,2014-01-23 17:00:00,"['massive', 'rally', 'of', 'pok', 'terrorists', '-', 'cops', 'are', 'gathered', 'waiting', 'for', 'arrests']","['massive', 'rally', 'pok', 'terrorists', 'cops', 'gathered', 'waiting', 'arrests']",['crime'],[],"['terrorists', 'cops', 'terrorists', 'cops', 'terrorists', 'cops', 'terrorists', 'cops', 'terrorists', 'cops', 'terrorists', 'cops', 'arrests', 'terrorists', 'cops', 'arrests', 'terrorists', 'cops', 'arrests', 'terrorists', 'cops', 'arrests']",[]
9,ccdata,2.01401E+13,,keep the peace-crowd control/abila city park,,,Egeou St / Parla St,1,[],0,1,2014-01-23 17:00:00,"['keep', 'the', 'peace-crowd', 'control/abila', 'city', 'park']","['keep', 'peace-crowd', 'control/abila', 'city', 'park']",[],[],[],[]
10,mbdata,2.01401E+13,rockinHW,artist ? musician? need more followers ? click here  followme.kronos/artists #abila #artists,,,,1,"['#abila', '#artists']",0.5,1,2014-01-23 17:00:00,"['artist', '?', 'musician', '?', 'need', 'more', 'followers', '?', 'click', 'here', 'followme.kronos/artists', '#', 'abila', '#', 'artists']","['artist', 'musician', 'need', 'followers', 'click', 'followme.kronos/artists', 'abila', 'artists']",[],[],[],[]
11,mbdata,2.01401E+13,KronosQuoth,success is walking from failure to failure with no loss of enthusiasm.  #pokrally #hi,,,,1,"['#POKRally', '#HI']",-0.111111111,0,2014-01-23 17:00:00,"['success', 'is', 'walking', 'from', 'failure', 'to', 'failure', 'with', 'no', 'loss', 'of', 'enthusiasm', '.', '#', 'pokrally', '#', 'hi']","['success', 'walking', 'failure', 'failure', 'loss', 'enthusiasm', 'pokrally']",[],[],[],[]
12,mbdata,2.01401E+13,KronosQuoth,a person who never made a mistake never tried anything new.  #kronosstar #pokrally,,,,1,"['#KronosStar', '#POKRally']",0.136363636,1,2014-01-23 17:00:00,"['a', 'person', 'who', 'never', 'made', 'a', 'mistake', 'never', 'tried', 'anything', 'new', '.', '#', 'kronosstar', '#', 'pokrally']","['person', 'never', 'made', 'mistake', 'never', 'tried', 'anything', 'new', 'kronosstar', 'pokrally']",[],[],[],[]
13,mbdata,2.01401E+13,KronosQuoth,the only person you are destined to become is the person you decide to be.  #kronosstar #pokrally,,,,1,"['#KronosStar', '#POKRally']",0,1,2014-01-23 17:00:24,"['the', 'only', 'person', 'you', 'are', 'destined', 'to', 'become', 'is', 'the', 'person', 'you', 'decide', 'to', 'be', '.', '#', 'kronosstar', '#', 'pokrally']","['person', 'destined', 'become', 'person', 'decide', 'kronosstar', 'pokrally']",[],[],[],[]
14,mbdata,2.01401E+13,KronosQuoth,knowledge is being aware of what you can do. wisdom is knowing when not to do it.  #pokrally #hi,,,,1,"['#POKRally', '#HI']",0.25,1,2014-01-23 17:00:24,"['knowledge', 'is', 'being', 'aware', 'of', 'what', 'you', 'can', 'do', '.', 'wisdom', 'is', 'knowing', 'when', 'not', 'to', 'do', 'it', '.', '#', 'pokrally', '#', 'hi']","['knowledge', 'aware', 'wisdom', 'knowing', 'pokrally']",[],[],[],[]
15,mbdata,2.01401E+13,Clevvah4Evah,i want a job 80% mental 30% fiscal #pok #rally #grammar,,,,1,"['#POK', '#Rally', '#Grammar']",-0.1,0,2014-01-23 17:00:55,"['i', 'want', 'a', 'job', '80', '%', 'mental', '30', '%', 'fiscal', '#', 'pok', '#', 'rally', '#', 'grammar']","['want', 'job', '80', '%', 'mental', '30', '%', 'fiscal', 'pok', 'rally', 'grammar']",[],[],[],[]
16,mbdata,2.01401E+13,KronosQuoth,the meaning of life is to find your gift. the purpose of life is to give it away.  #pokrally #hi,,,,1,"['#POKRally', '#HI']",0,1,2014-01-23 17:00:55,"['the', 'meaning', 'of', 'life', 'is', 'to', 'find', 'your', 'gift', '.', 'the', 'purpose', 'of', 'life', 'is', 'to', 'give', 'it', 'away', '.', '#', 'pokrally', '#', 'hi']","['meaning', 'life', 'find', 'gift', 'purpose', 'life', 'give', 'away', 'pokrally']",[],[],[],[]
